ibge_code,city,latitude,longitude
3539806,Poá,-23.533,-46.347
2101202,Bacabal,-4.224,-44.783
1301902,Itacoatiara,-3.139,-58.445
2802908,Itabaiana,-10.683,-37.427
3169901,Ubá,-21.12,-42.936
2510808,Patos,-7.017,-37.275
4203204,Camboriú,-27.024,-48.65
2928703,Santo Antônio de Jesus,-12.961,-39.258
3134202,Ituiutaba,-18.977,-49.464
1302504,Manacapuru,-3.291,-60.622
2101400,Balsas,-7.532,-46.037
2803500,Lagarto,-10.914,-37.669
3504008,Assis,-22.66,-50.418
3302205,Itaperuna,-21.2,-41.88
4104303,Campo Mourão,-24.046,-52.378
2607208,Ipojuca,-8.393,-35.061
5204508,Caldas Novas,-17.744,-48.625
2600054,Abreu e Lima,-7.901,-34.898
2612505,Santa Cruz do Capibaribe,-7.948,-36.206
3526704,Leme,-22.181,-47.384
2305506,Iguatu,-6.363,-39.289
3133808,Itaúna,-20.082,-44.58
3147105,Pará de Minas,-19.853,-44.611
1100023,Ariquemes,-9.906,-63.032
4108403,Francisco Beltrão,-26.082,-53.054
3557105,Votuporanga,-20.424,-49.978
1303403,Parintins,-2.637,-56.729
3302270,Japeri,-22.644,-43.66
5003207,Corumbá,-19.008,-57.651
3508504,Caçapava,-23.099,-45.708
1100304,Vilhena,-12.75,-60.149
2806701,São Cristóvão,-11.008,-37.204
3509007,Caieiras,-23.361,-46.74
3200607,Aracruz,-19.82,-40.276
3147006,Paracatu,-17.225,-46.871
2707701,Rio Largo,-9.478,-35.839
3528502,Mairiporã,-23.317,-46.59
4311403,Lajeado,-29.459,-51.964
3132404,Itajubá,-22.422,-45.46
3555406,Ubatuba,-23.433,-45.083
4309308,Guaíba,-30.109,-51.323
3300308,Barra do Piraí,-22.472,-43.827
3504503,Avaré,-23.107,-48.925
3509205,Cajamar,-23.355,-46.878
3530805,Mogi Mirim,-22.433,-46.953
3549102,São João da Boa Vista,-21.971,-46.794
2613909,Serra Talhada,-7.982,-38.289
5006606,Ponta Porã,-22.53,-55.72
4118402,Paranavaí,-23.082,-52.462
1200203,Cruzeiro do Sul,-7.628,-72.676
3139409,Manhuaçu,-20.257,-42.028
4118501,Pato Branco,-26.229,-52.671
5205497,Cidade Ocidental,-16.076,-47.925
1508100,Tucuruí,-3.766,-49.677
3162500,São João del-Rei,-21.131,-44.253
3148103,Patrocínio,-18.938,-46.993
3522406,Itapeva,-23.979,-48.876
5102504,Cáceres,-16.076,-57.682
3305505,Saquarema,-22.929,-42.51
2911709,Guanambi,-14.223,-42.78
3113404,Caratinga,-19.787,-42.129
1100049,Cacoal,-11.434,-61.456
3503901,Arujá,-23.396,-46.32
3170404,Unaí,-16.359,-46.902
2606408,Gravatá,-8.211,-35.568
4211306,Navegantes,-26.894,-48.655
2932903,Valença,-13.367,-39.073
3124104,Esmeraldas,-19.764,-44.306
1506138,Redenção,-8.025,-50.032
5107040,Primavera do Leste,-15.544,-54.281
1709500,Gurupi,-11.728,-49.068
2601102,Araripina,-7.571,-40.494
2109908,Santa Inês,-3.651,-45.377
3527207,Lorena,-22.733,-45.12
4310207,Ijuí,-28.388,-53.92
2108603,Pinheiro,-2.522,-45.079
2101608,Barra do Corda,-5.497,-45.248
4317103,Santana do Livramento,-30.877,-55.539
2311306,Quixadá,-4.966,-39.016
1504703,Moju,-1.89,-48.767
5105259,Lucas do Rio Verde,-13.059,-55.904
4215802,São Bento do Sul,-26.25,-49.383
2208007,Picos,-7.077,-41.467
2501807,Bayeux,-7.124,-34.929
2917508,Jacobina,-11.181,-40.512
2407104,Macaíba,-5.852,-35.355
2311405,Quixeramobim,-5.191,-39.289
4204301,Concórdia,-27.234,-52.026
3550704,São Sebastião,-23.795,-45.414
3168705,Timóteo,-19.581,-42.647
2309706,Pacatuba,-3.978,-38.618
2313401,Tianguá,-3.73,-40.992
2103208,Chapadinha,-3.739,-43.354
2606200,Goiana,-7.561,-34.996
3120904,Curvelo,-18.753,-44.43
2301000,Aquiraz,-3.899,-38.39
3305554,Seropédica,-22.753,-43.716
2930501,Serrinha,-11.658,-39.01
3136207,João Monlevade,-19.813,-43.174
4303004,Cachoeira do Sul,-30.033,-52.893
4105508,Cianorte,-23.66,-52.605
2601706,Belo Jardim,-8.331,-36.426
3550605,São Roque,-23.523,-47.136
2604007,Carpina,-7.846,-35.251
2402600,Ceará-Mirim,-5.643,-35.425
3529302,Matão,-21.602,-48.364
3101607,Alfenas,-21.426,-45.948
3306008,Três Rios,-22.116,-43.218
2601201,Arcoverde,-8.415,-37.058
3509601,Campo Limpo Paulista,-23.208,-46.789
1502152,Canaã dos Carajás,-6.497,-49.878
4317202,Santa Rosa,-27.87,-54.48
4317509,Santo Ângelo,-28.3,-54.267
4202305,Biguaçu,-27.496,-48.66
3556701,Vinhedo,-23.03,-46.983
3171303,Viçosa,-20.756,-42.874
2304103,Crateús,-5.168,-40.654
3506102,Bebedouro,-20.949,-48.479
4307708,Esteio,-29.852,-51.184
4208302,Itapema,-27.086,-48.616
4319901,Sapiranga,-29.635,-51.006
3519709,Ibiúna,-23.66,-47.223
3169307,Três Corações,-21.692,-45.251
3137601,Lagoa Santa,-19.64,-43.893
2301109,Aracati,-4.558,-37.768
4127106,Telêmaco Borba,-24.324,-50.618
2301901,Barbalha,-7.298,-39.302
3513405,Cruzeiro,-22.573,-44.969
3146107,Ouro Preto,-20.38,-43.512
3527108,Lins,-21.672,-49.753
2305233,Horizonte,-4.121,-38.471
2930105,Senhor do Bonfim,-10.459,-40.186
2914604,Irecê,-11.303,-41.854
2302800,Canindé,-4.352,-39.316
2304285,Eusébio,-3.892,-38.456
2104800,Grajaú,-5.814,-46.146
4203006,Caçador,-26.776,-51.012
5208608,Goianésia,-15.312,-49.116
1304203,Tefé,-3.368,-64.719
3539301,Pirassununga,-21.996,-47.426
3205101,Viana,-20.382,-40.493
4104907,Castro,-24.789,-50.011
1506500,Santa Izabel do Pará,-1.297,-48.161
2311801,Russas,-4.927,-37.972
2303501,Cascavel,-4.13,-38.241
4214805,Rio do Sul,-27.216,-49.643
4205902,Gaspar,-26.934,-48.953
1507953,Tailândia,-2.946,-48.949
4300406,Alegrete,-29.79,-55.795
2906501,Candeias,-12.672,-38.547
5219753,Santo Antônio do Descoberto,-15.941,-48.258
2907202,Casa Nova,-9.164,-40.974
3522604,Itapira,-22.436,-46.822
4201406,Araranguá,-28.936,-49.492
5208806,Goianira,-16.495,-49.427
3524303,Jaboticabal,-21.252,-48.325
3164704,São Sebastião do Paraíso,-20.917,-46.984
4122404,Rolândia,-23.31,-51.366
2706307,Palmeira dos Índios,-9.406,-36.633
4207502,Indaial,-26.899,-49.235
2910057,Dias d'Ávila,-12.619,-38.293
2906006,Campo Formoso,-10.51,-40.32
3515509,Fernandópolis,-20.281,-50.247
2309607,Pacajus,-4.171,-38.465
3135100,Janaúba,-15.802,-43.313
3524006,Itupeva,-23.153,-47.059
1301209,Coari,-4.094,-63.144
2904605,Brumado,-14.202,-41.67
1502202,Capanema,-1.205,-47.178
4307906,Farroupilha,-29.223,-51.342
5213103,Mineiros,-17.565,-52.554
1500404,Alenquer,-1.946,-54.738
5101803,Barra do Garças,-15.88,-52.264
4322608,Venâncio Aires,-29.614,-52.193
3537602,Peruíbe,-24.312,-47.001
1505304,Oriximiná,-1.76,-55.858
3126109,Formiga,-20.462,-45.427
3306107,Valença,-22.244,-43.713
3501905,Amparo,-22.709,-46.772
2908408,Conceição do Coité,-11.56,-39.281
3530508,Mococa,-21.465,-47.002
1508001,Tomé-Açu,-2.413,-48.142
2516201,Sousa,-6.751,-38.231
3515103,Embu-Guaçu,-23.83,-46.814
1304062,Tabatinga,-4.242,-69.938
2503209,Cabedelo,-6.987,-34.828
3526803,Lençóis Paulista,-22.603,-48.804
3115300,Cataguases,-21.392,-42.69
2916401,Itapetinga,-15.248,-40.248
2101707,Barreirinhas,-2.759,-42.823
2903904,Bom Jesus da Lapa,-13.251,-43.411
2208403,Piripiri,-4.272,-41.772
1507300,São Félix do Xingu,-6.643,-51.99
2300200,Acaraú,-2.888,-40.118
2609907,Ouricuri,-7.879,-40.08
3135209,Januária,-15.48,-44.364
2802106,Estância,-11.266,-37.448
2914703,Itaberaba,-12.524,-40.306
1503309,Igarapé-Miri,-1.975,-48.958
3531803,Monte Mor,-22.945,-47.312
2306256,Itaitinga,-3.966,-38.53
1718204,Porto Nacional,-10.703,-48.408
4312401,Montenegro,-29.682,-51.468
4322509,Vacaria,-28.508,-50.942
3506359,Bertioga,-23.849,-46.14
2614501,Surubim,-7.847,-35.748
3555000,Tupã,-21.934,-50.519
4304630,Capão da Canoa,-29.764,-50.028
1501501,Benevides,-1.362,-48.243
3530300,Mirassol,-20.817,-49.521
2503704,Cajazeiras,-6.88,-38.558
4303905,Campo Bom,-29.675,-51.061
2610905,Pesqueira,-8.358,-36.698
2305407,Icó,-6.396,-38.855
3149309,Pedro Leopoldo,-19.631,-44.038
1505809,Portel,-1.936,-50.819
2612208,Salgueiro,-8.074,-39.125
5206206,Cristalina,-16.768,-47.613
2302602,Camocim,-2.9,-40.854
4303509,Camaquã,-30.849,-51.804
2203909,Floriano,-6.772,-43.024
3533403,Nova Odessa,-22.783,-47.294
3531100,Mongaguá,-24.081,-46.626
4304705,Carazinho,-28.296,-52.793
2601904,Bezerros,-8.233,-35.796
3537305,Penápolis,-21.415,-50.077
2403608,Extremoz,-5.701,-35.305
2910701,Euclides da Cunha,-10.508,-39.015
2308708,Morada Nova,-5.097,-38.37
3140001,Mariana,-20.376,-43.414
2313302,Tauá,-5.986,-40.297
1302900,Maués,-3.393,-57.707
